"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"159",159,"SCRIPT","","lsafEmubkdOin","dialect","RR",0,"female","opaque","2018-08-22 16:49:47","0000-00-00 00:00:00",18,"f",5,0,0
"160",160,"END","00160LNwFy","snkdmbuElOifa","dialect","RR",0,"female","opaque","2018-08-22 16:51:30","2018-08-22 17:53:37",47,"f",5,4,5
"161",161,"END","00161VUiAo","dfakEmlOnisub","dialect","RR",0,"female","opaque","2018-08-22 16:51:36","2018-08-22 18:49:53",28,"m",5,1,3
"162",162,"END","00162wkCED","alufEimsOnkdb","dialect","RR",0,"female","opaque","2018-08-22 16:55:12","2018-08-22 17:29:21",52,"m",4,4,5
"163",163,"END","00163QwDBv","fibaumlOnsEkd","dialect","RR",0,"female","opaque","2018-08-22 16:59:22","2018-08-22 18:01:01",28,"m",5,5,5
"164",164,"END","00164WIScT","EmlibsduOfnka","dialect","RR",0,"female","opaque","2018-08-22 17:17:54","2018-08-22 19:22:51",31,"f",5,4,5
"165",165,"EXPOSURE1","","dOlfmuasikbEn","dialect","RR",0,"female","opaque","2018-08-22 17:20:59","0000-00-00 00:00:00",33,"m",5,0,0
"166",166,"SCRIPT","","ldEOnkambiufs","dialect","RR",0,"female","opaque","2018-08-22 19:31:20","0000-00-00 00:00:00",40,"f",4,0,0
"167",167,"START","","EdslbuniOkamf","dialect","RR",0,"male","transparent","2018-08-22 19:34:21","0000-00-00 00:00:00",0,"",0,0,0
"168",168,"END","00168yUDEG","niOkdfEmluabs","dialect","RR",0,"female","opaque","2018-08-22 20:10:29","2018-08-22 21:07:30",67,"f",5,2,5
"169",169,"START","","umlkbfiaEdsnO","dialect","RR",1,"female","transparent","2018-08-22 22:04:31","0000-00-00 00:00:00",0,"",0,0,0
"170",170,"END","00170kfOMv","iElakdnbfmuOs","dialect","RR",0,"female","opaque","2018-08-22 23:06:41","2018-08-22 23:56:15",33,"f",5,4,5
